기간	자치구	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황
기간	자치구	합계	개	개	개	개	개	고양이	고양이	고양이	고양이	고양이	기타	기타	기타	기타	기타
기간	자치구	합계	계	인도(주인)	입양분양	폐사안락사	계류기증	계	인도(주인)	입양분양	폐사안락사	계류기증	계	인도(주인)	입양분양	폐사안락사	계류기증
2012	양천구	697	541	175	213	122	31	145	4	52	76	13	11	-	4	6	1
2012	강서구	602	385	74	94	217	-	199	5	8	186	-	18	1	5	12	-
2012	구로구	364	247	48	40	146	13	108	2	5	93	8	9	-	3	6	-
2012	금천구	439	266	40	110	116	-	167	1	43	123	-	6	-	2	4	-
2012	영등포구	377	239	34	55	126	24	133	1	14	110	8	5	-	3	2	-
2012	동작구	335	288	85	89	114	-	31	2	13	16	-	16	1	5	10	-
2012	관악구	894	505	128	282	57	38	363	9	187	158	9	26	1	8	14	3
2012	서초구	373	171	37	31	93	10	190	4	5	94	87	12	-	7	5	-
2012	강남구	505	248	58	56	122	12	240	9	8	214	9	17	-	6	9	2
2012	송파구	562	300	72	67	130	31	258	3	8	235	12	4	-	-	4	-
2012	강동구	593	433	144	189	56	44	141	7	49	65	20	19	1	13	2	3
2013	합계	11,672	7,803	2,007	1,660	3,690	446	3,509	84	900	2,339	186	360	15	241	79	25
2013	종로구	182	141	28	15	58	40	35	-	3	22	10	6	-	2	-	4
2013	중구	302	149	31	9	77	32	145	-	42	74	29	8	-	7	1	-
2013	용산구	980	427	142	242	43	-	544	33	324	187	-	9	3	-	6	-
2013	성동구	298	196	39	27	125	5	86	3	3	80	-	16	-	14	1	1
2013	광진구	355	274	93	37	140	4	52	2	7	43	-	29	2	25	2	-
2013	동대문구	495	327	72	38	131	86	154	3	13	109	29	14	-	8	1	5
2013	중랑구	413	327	74	46	178	29	74	4	5	62	3	12	2	7	2	1
2013	성북구	528	356	70	39	241	6	156	-	6	149	1	16	1	13	2	-
2013	강북구	538	400	77	40	250	33	123	1	4	113	5	15	-	7	4	4
2013	도봉구	348	272	73	28	169	2	50	1	4	45	-	26	-	26	-	-
2013	노원구	377	305	61	34	204	6	58	4	3	51	-	14	3	11	-	-
2013	은평구	562	438	111	41	280	6	110	-	6	104	-	14	-	12	2	-
2013	서대문구	467	300	64	39	100	97	143	2	4	106	31	24	1	15	3	5
2013	마포구	826	364	112	141	52	59	450	4	153	222	71	12	1	5	3	3
2013	양천구	512	460	169	122	166	3	28	3	14	11	-	24	-	12	12	-
2013	강서구	493	371	94	47	228	2	107	3	10	94	-	15	-	11	4	-
2013	구로구	434	294	49	40	190	15	126	3	3	115	5	14	1	12	1	-
2013	금천구	325	279	68	68	143	-	27	2	5	20	-	19	1	6	12	-
2013	영등포구	400	214	43	37	134	-	173	1	6	166	-	13	-	8	5	-
2013	동작구	339	306	94	71	141	-	19	5	9	5	-	14	-	3	11	-
2013	관악구	947	528	141	339	48	-	414	4	240	170	-	5	-	4	1	-
2013	서초구	340	208	62	29	113	4	127	1	4	120	2	5	-	3	1	1
2013	강남구	317	197	65	29	102	1	104	2	9	93	-	16	-	14	2	-
2013	송파구	533	336	84	44	197	11	188	2	15	171	-	9	-	5	3	1
2013	강동구	361	334	91	58	180	5	16	1	8	7	-	11	-	11	-	-
2014	합계	9,551	6,644	2,144	1,703	2,797	-	2,616	60	826	1,730	-	291	13	228	50	-
2014	종로구	223	150	40	28	82	-	68	-	4	64	-	5	-	5	-	-
2014	중구	144	106	27	21	58	-	32	1	4	27	-	6	-	5	1	-
2014	용산구	611	330	141	156	33	-	277	6	185	86	-	4	-	2	2	-
2014	성동구	231	168	46	33	89	-	54	1	7	46	-	9	-	8	1	-
2014	광진구	312	227	87	49	91	-	61	3	11	47	-	24	2	18	4	-
2014	동대문구	430	287	77	58	152	-	129	-	8	121	-	14	-	13	1	-
2014	중랑구	426	366	115	61	190	-	52	1	8	43	-	8	-	6	2	-
2014	성북구	407	293	79	59	155	-	97	3	13	81	-	17	2	13	2	-
2014	강북구	423	307	93	53	161	-	102	1	12	89	-	14	-	13	1	-
2014	도봉구	344	273	96	43	134	-	62	-	9	53	-	9	1	7	1	-
2014	노원구	277	209	48	45	116	-	54	-	5	49	-	14	-	12	2	-
2014	은평구	486	400	123	56	221	-	66	3	13	50	-	20	-	16	4	-
2014	서대문구	380	237	69	41	127	-	132	4	17	111	-	11	-	10	1	-
2014	마포구	771	347	141	149	57	-	405	6	197	202	-	19	1	15	3	-
2014	양천구	452	386	136	160	90	-	53	3	22	28	-	13	-	7	6	-
2014	강서구	407	321	98	61	162	-	68	3	9	56	-	18	2	15	1	-
2014	구로구	340	225	50	46	129	-	103	3	13	87	-	12	1	9	2	-
2014	금천구	181	169	44	28	97	-	7	-	1	6	-	5	2	2	1	-
2014	영등포구	271	157	39	28	90	-	111	2	12	97	-	3	-	3	-	-
2014	동작구	346	314	126	78	110	-	14	3	9	2	-	18	-	9	9	-
2014	관악구	875	476	161	299	16	-	395	7	225	163	-	4	-	4	-	-
2014	서초구	239	143	48	18	77	-	86	4	10	72	-	10	-	10	-	-
2014	강남구	219	173	60	35	78	-	38	1	14	23	-	8	-	7	1	-
2014	송파구	426	271	90	44	137	-	142	4	14	124	-	13	1	9	3	-
2014	강동구	330	309	110	54	145	-	8	1	4	3	-	13	1	10	2	-
2015	합계	8,902	6,060	2,193	1,453	2,358	56	2,541	55	797	1,679	10	301	8	221	72	-
2015	종로구	254	159	54	15	89	1	88	-	9	79	-	7	-	6	1	-
2015	중구	153	82	19	18	45	-	63	-	10	53	-	8	-	8	-	-
2015	용산구	489	287	145	119	23	-	191	4	105	82	-	11	-	7	4	-
2015	성동구	228	158	43	28	86	1	57	2	19	36	-	13	-	11	2	-
2015	광진구	347	240	104	47	83	6	84	2	16	66	-	23	1	21	1	-
2015	동대문구	410	249	83	53	109	4	151	1	22	128	-	10	-	7	3	-
2015	중랑구	382	290	116	39	131	4	78	2	18	58	-	14	1	11	2	-
2015	성북구	379	280	84	43	150	3	79	-	7	72	-	20	1	16	3	-
2015	강북구	401	307	97	56	151	3	79	3	8	68	-	15	-	10	5	-
2015	도봉구	297	238	78	36	121	3	53	1	5	47	-	6	-	2	4	-
2015	노원구	292	243	72	47	121	3	36	-	3	33	-	13	-	10	3	-
2015	은평구	456	348	96	69	181	2	92	2	14	76	-	16	1	12	3	-
2015	서대문구	344	213	77	34	102	-	115	1	14	100	-	16	1	12	3	-
2015	마포구	586	268	130	94	34	10	300	4	153	134	9	18	1	9	8	-
2015	양천구	419	344	152	107	85	-	54	5	17	32	-	21	-	15	6	-
2015	강서구	391	285	99	51	130	5	87	4	11	72	-	19	1	13	5	-
2015	구로구	237	193	35	39	116	3	37	-	5	32	-	7	1	6	-	-
2015	금천구	163	139	44	27	67	1	21	-	5	16	-	3	-	2	1	-
2015	영등포구	299	159	45	34	78	2	127	1	11	115	-	13	-	13	-	-
2015	동작구	288	258	138	40	80	-	11	1	6	4	-	19	-	7	12	-
2015	관악구	1,047	519	203	297	19	-	523	11	307	205	-	5	-	5	-	-
2015	서초구	181	129	46	33	50	-	46	2	6	38	-	6	-	5	1	-
2015	강남구	210	157	54	28	74	1	50	5	7	38	-	3	-	2	1	-
2015	송파구	356	237	84	45	106	2	109	3	16	89	1	10	-	7	3	-
2015	강동구	293	278	95	54	127	2	10	1	3	6	-	5	-	4	1	-
2016	합계	8,645	5,872	2,203	1,590	2,048	31	2,433	70	686	1,652	25	340	22	237	73	8
2016	종로구	242	165	47	26	92	-	72	1	6	65	-	5	-	4	1	-
2016	중구	159	85	27	21	37	-	65	-	5	60	-	9	1	8	-	-
2016	용산구	482	252	138	98	16	-	216	3	119	93	1	14	-	3	10	1
2016	성동구	231	161	67	29	65	-	52	-	9	43	-	18	-	17	1	-
2016	광진구	296	199	84	49	65	1	89	1	7	81	-	8	-	7	1	-
2016	동대문구	363	266	75	57	132	2	90	1	17	72	-	7	1	6	-	-
2016	중랑구	394	310	106	78	124	2	71	1	12	58	-	13	-	11	2	-
2016	성북구	376	277	95	57	124	1	85	1	15	69	-	14	1	10	3	-
2016	강북구	355	280	91	62	127	-	68	2	14	52	-	7	-	7	-	-
2016	도봉구	315	212	71	59	80	2	89	1	14	74	-	14	-	11	3	-
2016	노원구	330	251	101	60	88	2	64	1	11	52	-	15	2	10	3	-
2016	은평구	449	308	99	53	152	4	124	3	12	109	-	17	-	15	2	-
2016	서대문구	331	198	69	38	91	-	117	2	16	99	-	16	1	12	3	-
2016	마포구	600	240	118	90	20	12	338	11	145	161	21	22	-	7	10	5
2016	양천구	425	306	148	78	80	-	109	11	31	67	-	10	1	3	6	-
2016	강서구	394	288	105	65	117	1	89	6	14	69	-	17	3	12	2	-
2016	구로구	210	163	51	37	74	1	35	-	5	30	-	12	3	8	1	-
2016	금천구	216	164	45	50	67	2	44	1	3	40	-	8	-	8	-	-
2016	영등포구	279	175	57	44	74	-	94	-	26	68	-	10	-	9	1	-
2016	동작구	335	277	146	51	80	-	31	1	17	13	-	27	-	9	17	1
2016	관악구	814	550	205	318	27	-	237	17	137	83	-	27	4	21	1	1
2016	서초구	176	112	42	27	43	-	55	2	7	46	-	9	-	8	1	-
2016	강남구	240	166	65	47	53	1	63	2	8	53	-	11	-	10	1	-
2016	송파구	336	241	76	48	117	-	79	1	7	71	-	16	2	11	3	-
2016	강동구	297	226	75	48	103	-	57	1	29	24	3	14	3	10	1	-
2017	합계	8,630	5,584	2,014	1,622	1,915	33	2,758	79	766	1,766	147	288	21	203	59	5
2017	종로구	288	161	45	26	89	1	124	4	9	111	-	3	-	2	1	-
2017	중구	185	99	26	25	46	2	75	2	7	66	-	11	-	8	3	-
2017	용산구	386	189	105	63	12	9	182	3	73	98	8	15	-	4	8	3
2017	성동구	249	154	53	34	67	-	80	5	11	64	-	15	-	11	4	-
2017	광진구	310	189	86	38	63	2	109	2	20	87	-	12	1	9	2	-
2017	동대문구	379	236	83	56	96	1	131	2	14	113	2	12	-	10	2	-
2017	중랑구	423	284	96	84	104	-	131	6	10	115	-	8	-	7	1	-
2017	성북구	378	260	93	51	115	1	99	4	16	79	-	19	-	18	1	-
2017	강북구	382	276	86	77	113	-	95	-	22	73	-	11	-	9	2	-
2017	도봉구	331	213	81	46	86	-	107	2	11	94	-	11	-	8	3	-
2017	노원구	339	237	84	41	110	2	86	1	9	76	-	16	1	12	3	-
2017	은평구	463	353	89	77	185	2	99	7	14	78	-	11	1	9	1	-
2017	서대문구	244	192	67	39	84	2	37	5	14	18	-	15	1	14	-	-
2017	마포구	610	242	114	103	15	10	359	8	140	126	85	9	-	2	5	2
2017	양천구	427	289	124	156	9	-	129	5	46	78	-	9	1	4	4	-
2017	강서구	374	275	99	64	112	-	87	2	17	68	-	12	2	9	1	-
2017	구로구	233	206	51	67	88	-	20	-	4	16	-	7	1	5	1	-
2017	금천구	184	138	42	36	60	-	43	2	6	35	-	3	-	3	-	-
2017	영등포구	242	148	50	38	60	-	83	4	43	36	-	11	-	8	3	-
2017	동작구	311	235	117	55	63	-	54	4	18	32	-	22	9	8	5	-
2017	관악구	701	450	167	266	17	-	227	2	158	67	-	24	-	20	4	-
2017	서초구	194	130	49	26	55	-	56	2	7	47	-	8	1	7	-	-
2017	강남구	246	146	52	40	54	-	93	-	18	75	-	7	2	5	-	-
2017	송파구	309	227	71	55	101	-	74	6	11	57	-	8	1	4	3	-
2017	강동구	442	255	84	59	111	1	178	1	68	57	52	9	-	7	2	-
2018	합계	8,220	5,368	2,017	1,572	1,703	76	2,607	71	830	1,657	49	245	14	152	77	2
2018	종로구	240	122	50	23	49	-	112	8	10	94	-	6	-	4	2	-
2018	중구	163	92	29	24	38	1	59	-	5	54	-	12	2	6	4	-
2018	용산구	294	190	79	74	17	20	98	3	42	45	8	6	-	4	2	-
2018	성동구	245	155	46	31	77	1	81	1	9	71	-	9	1	6	2	-
2018	광진구	325	190	93	36	60	1	128	1	19	108	-	7	-	3	4	-
2018	동대문구	298	237	91	57	86	3	53	4	9	40	-	8	3	5	-	-
2018	중랑구	406	259	84	72	100	3	137	3	23	111	-	10	-	7	3	-
