기간,animal,자치구,계,인도(주인),입양분양,폐사안락사,계류기증
2013,개,동작구,306,94,71,141,0
2013,고양이,동작구,19,5,9,5,0
2013,기타 동물,동작구,14,0,3,11,0
2013,개,마포구,364,112,141,52,59
2013,고양이,마포구,450,4,153,222,71
2013,기타 동물,마포구,12,1,5,3,3
2013,개,서대문구,300,64,39,100,97
2013,고양이,서대문구,143,2,4,106,31
2013,기타 동물,서대문구,24,1,15,3,5
2013,개,서초구,208,62,29,113,4
2013,고양이,서초구,127,1,4,120,2
2013,기타 동물,서초구,5,0,3,1,1
2013,개,성동구,196,39,27,125,5
2013,고양이,성동구,86,3,3,80,0
2013,기타 동물,성동구,16,0,14,1,1
2013,개,성북구,356,70,39,241,6
2013,고양이,성북구,156,0,6,149,1
2013,기타 동물,성북구,16,1,13,2,0
2013,개,송파구,336,84,44,197,11
2013,고양이,송파구,188,2,15,171,0
2013,기타 동물,송파구,9,0,5,3,1
2013,개,양천구,460,169,122,166,3
2013,고양이,양천구,28,3,14,11,0
2013,기타 동물,양천구,24,0,12,12,0
2013,개,영등포구,214,43,37,134,0
2013,고양이,영등포구,173,1,6,166,0
2013,기타 동물,영등포구,13,0,8,5,0
2013,개,용산구,427,142,242,43,0
2013,고양이,용산구,544,33,324,187,0
2013,기타 동물,용산구,9,3,0,6,0
2013,개,은평구,438,111,41,280,6
2013,고양이,은평구,110,0,6,104,0
2013,기타 동물,은평구,14,0,12,2,0
2013,개,종로구,141,28,15,58,40
2013,고양이,종로구,35,0,3,22,10
2013,기타 동물,종로구,6,0,2,0,4
2013,개,중구,149,31,9,77,32
2013,고양이,중구,145,0,42,74,29
2013,기타 동물,중구,8,0,7,1,0
2013,개,중랑구,327,74,46,178,29
2013,고양이,중랑구,74,4,5,62,3
2013,기타 동물,중랑구,12,2,7,2,1
2014,개,강남구,173,60,35,78,0
2014,고양이,강남구,38,1,14,23,0
2014,기타 동물,강남구,8,0,7,1,0
2014,개,강동구,309,110,54,145,0
2014,고양이,강동구,8,1,4,3,0
2014,기타 동물,강동구,13,1,10,2,0
2014,개,강북구,307,93,53,161,0
2014,고양이,강북구,102,1,12,89,0
2014,기타 동물,강북구,14,0,13,1,0
2014,개,강서구,321,98,61,162,0
2014,고양이,강서구,68,3,9,56,0
2014,기타 동물,강서구,18,2,15,1,0
2014,개,관악구,476,161,299,16,0
2014,고양이,관악구,395,7,225,163,0
2014,기타 동물,관악구,4,0,4,0,0
2014,개,광진구,227,87,49,91,0
2014,고양이,광진구,61,3,11,47,0
2014,기타 동물,광진구,24,2,18,4,0
2014,개,구로구,225,50,46,129,0
2014,고양이,구로구,103,3,13,87,0
2014,기타 동물,구로구,12,1,9,2,0
2014,개,금천구,169,44,28,97,0
2014,고양이,금천구,7,0,1,6,0
2014,기타 동물,금천구,5,2,2,1,0
2014,개,노원구,209,48,45,116,0
2014,고양이,노원구,54,0,5,49,0
2014,기타 동물,노원구,14,0,12,2,0
2014,개,도봉구,273,96,43,134,0
2014,고양이,도봉구,62,0,9,53,0
2014,기타 동물,도봉구,9,1,7,1,0
2014,개,동대문구,287,77,58,152,0
2014,고양이,동대문구,129,0,8,121,0
2014,기타 동물,동대문구,14,0,13,1,0
2014,개,동작구,314,126,78,110,0
2014,고양이,동작구,14,3,9,2,0
2014,기타 동물,동작구,18,0,9,9,0
2014,개,마포구,347,141,149,57,0
2014,고양이,마포구,405,6,197,202,0
2014,기타 동물,마포구,19,1,15,3,0
2014,개,서대문구,237,69,41,127,0
2014,고양이,서대문구,132,4,17,111,0
2014,기타 동물,서대문구,11,0,10,1,0
2014,개,서초구,143,48,18,77,0
2014,고양이,서초구,86,4,10,72,0
2014,기타 동물,서초구,10,0,10,0,0
2014,개,성동구,168,46,33,89,0
2014,고양이,성동구,54,1,7,46,0
2014,기타 동물,성동구,9,0,8,1,0
2014,개,성북구,293,79,59,155,0
2014,고양이,성북구,97,3,13,81,0
2014,기타 동물,성북구,17,2,13,2,0
2014,개,송파구,271,90,44,137,0
2014,고양이,송파구,142,4,14,124,0
2014,기타 동물,송파구,13,1,9,3,0
2014,개,양천구,386,136,160,90,0
2014,고양이,양천구,53,3,22,28,0
2014,기타 동물,양천구,13,0,7,6,0
2014,개,영등포구,157,39,28,90,0
2014,고양이,영등포구,111,2,12,97,0
2014,기타 동물,영등포구,3,0,3,0,0
2014,개,용산구,330,141,156,33,0
2014,고양이,용산구,277,6,185,86,0
2014,기타 동물,용산구,4,0,2,2,0
2014,개,은평구,400,123,56,221,0
2014,고양이,은평구,66,3,13,50,0
2014,기타 동물,은평구,20,0,16,4,0
2014,개,종로구,150,40,28,82,0
2014,고양이,종로구,68,0,4,64,0
2014,기타 동물,종로구,5,0,5,0,0
2014,개,중구,106,27,21,58,0
2014,고양이,중구,32,1,4,27,0
2014,기타 동물,중구,6,0,5,1,0
2014,개,중랑구,366,115,61,190,0
2014,고양이,중랑구,52,1,8,43,0
2014,기타 동물,중랑구,8,0,6,2,0
2015,개,강남구,157,54,28,74,1
2015,고양이,강남구,50,5,7,38,0
2015,기타 동물,강남구,3,0,2,1,0
2015,개,강동구,278,95,54,127,2
2015,고양이,강동구,10,1,3,6,0
2015,기타 동물,강동구,5,0,4,1,0
2015,개,강북구,307,97,56,151,3
2015,고양이,강북구,79,3,8,68,0
2015,기타 동물,강북구,15,0,10,5,0
2015,개,강서구,285,99,51,130,5
2015,고양이,강서구,87,4,11,72,0
2015,기타 동물,강서구,19,1,13,5,0
2015,개,관악구,519,203,297,19,0
2015,고양이,관악구,523,11,307,205,0
2015,기타 동물,관악구,5,0,5,0,0
2015,개,광진구,240,104,47,83,6
2015,고양이,광진구,84,2,16,66,0
2015,기타 동물,광진구,23,1,21,1,0
2015,개,구로구,193,35,39,116,3
2015,고양이,구로구,37,0,5,32,0
2015,기타 동물,구로구,7,1,6,0,0
2015,개,금천구,139,44,27,67,1
2015,고양이,금천구,21,0,5,16,0
2015,기타 동물,금천구,3,0,2,1,0
2015,개,노원구,243,72,47,121,3
2015,고양이,노원구,36,0,3,33,0
2015,기타 동물,노원구,13,0,10,3,0
2015,개,도봉구,238,78,36,121,3
2015,고양이,도봉구,53,1,5,47,0
2015,기타 동물,도봉구,6,0,2,4,0
2015,개,동대문구,249,83,53,109,4
2015,고양이,동대문구,151,1,22,128,0
2015,기타 동물,동대문구,10,0,7,3,0
2015,개,동작구,258,138,40,80,0
2015,고양이,동작구,11,1,6,4,0
2015,기타 동물,동작구,19,0,7,12,0
2015,개,마포구,268,130,94,34,10
2015,고양이,마포구,300,4,153,134,9
2015,기타 동물,마포구,18,1,9,8,0
2015,개,서대문구,213,77,34,102,0
2015,고양이,서대문구,115,1,14,100,0
2015,기타 동물,서대문구,16,1,12,3,0
2015,개,서초구,129,46,33,50,0
2015,고양이,서초구,46,2,6,38,0
2015,기타 동물,서초구,6,0,5,1,0
2015,개,성동구,158,43,28,86,1
2015,고양이,성동구,57,2,19,36,0
2015,기타 동물,성동구,13,0,11,2,0
2015,개,성북구,280,84,43,150,3
2015,고양이,성북구,79,0,7,72,0
2015,기타 동물,성북구,20,1,16,3,0
2015,개,송파구,237,84,45,106,2
2015,고양이,송파구,109,3,16,89,1
2015,기타 동물,송파구,10,0,7,3,0
2015,개,양천구,344,152,107,85,0
2015,고양이,양천구,54,5,17,32,0
2015,기타 동물,양천구,21,0,15,6,0
2015,개,영등포구,159,45,34,78,2
2015,고양이,영등포구,127,1,11,115,0
2015,기타 동물,영등포구,13,0,13,0,0
2015,개,용산구,287,145,119,23,0
2015,고양이,용산구,191,4,105,82,0
2015,기타 동물,용산구,11,0,7,4,0
2015,개,은평구,348,96,69,181,2
2015,고양이,은평구,92,2,14,76,0
2015,기타 동물,은평구,16,1,12,3,0
2015,개,종로구,159,54,15,89,1
2015,고양이,종로구,88,0,9,79,0
2015,기타 동물,종로구,7,0,6,1,0
2015,개,중구,82,19,18,45,0
2015,고양이,중구,63,0,10,53,0
2015,기타 동물,중구,8,0,8,0,0
2015,개,중랑구,290,116,39,131,4
2015,고양이,중랑구,78,2,18,58,0
2015,기타 동물,중랑구,14,1,11,2,0
2016,개,강남구,166,65,47,53,1
2016,고양이,강남구,63,2,8,53,0
2016,기타 동물,강남구,11,0,10,1,0
2016,개,강동구,226,75,48,103,0
2016,고양이,강동구,57,1,29,24,3
2016,기타 동물,강동구,14,3,10,1,0
2016,개,강북구,280,91,62,127,0
2016,고양이,강북구,68,2,14,52,0
2016,기타 동물,강북구,7,0,7,0,0
2016,개,강서구,288,105,65,117,1
2016,고양이,강서구,89,6,14,69,0
2016,기타 동물,강서구,17,3,12,2,0
2016,개,관악구,550,205,318,27,0
2016,고양이,관악구,237,17,137,83,0
2016,기타 동물,관악구,27,4,21,1,1
