year,month,title,writer,rank,split_writer,nouns
2003,4,사과가 쿵!,"다다 히로시 (지은이), 다다 히로시  (그림) |",12,"[('다다 히로시 ', '지은이'), (', 다다 히로시  ', '그림')]",['사과']
2003,4,기차 ㄱ ㄴ ㄷ,"박은영 (글), 박은영  (그림) |",13,"[('박은영 ', '글'), (', 박은영  ', '그림')]",['기차']
2003,4,창가의 토토,"구로야나기 테츠코 (지은이), 이와사키 치히로 (그림), 김난주  (옮긴이) |",14,"[('구로야나기 테츠코 ', '지은이'), (', 이와사키 치히로 ', '그림'), (', 김난주  ', '옮긴이')]",['창가의 토토']
2003,4,토마토 : 토익점수 마구 올려주는 토익 (Reading),오혜정  (지은이) |,15,"[('오혜정  ', '지은이')]","['토마토', '토익', '점수', '토익']"
2003,4,돼지책 (100쇄 기념판),"앤서니 브라운 (지은이), 허은미  (옮긴이) |",16,"[('앤서니 브라운 ', '지은이'), (', 허은미  ', '옮긴이')]","['돼지', '책', '쇄', '기념', '판']"
2003,4,그림으로 생각 키우기,고미 타로  (지은이) |,17,"[('고미 타로  ', '지은이')]","['그림', '생각']"
2003,4,내 이름은 삐삐 롱스타킹,"아스트리드 린드그렌 (지은이), 롤프 레티히 (그림), 햇살과나무꾼  (옮긴이) |",18,"[('아스트리드 린드그렌 ', '지은이'), (', 롤프 레티히 ', '그림'), (', 햇살과나무꾼  ', '옮긴이')]","['이름', '삐삐']"
2003,4,"열하일기, 웃음과 역설의 유쾌한 시공간",고미숙  (지은이) |,19,"[('고미숙  ', '지은이')]","['열하일기', '웃음', '역설', '시공간']"
2003,4,심심해서 그랬어,"윤구병 (지은이), 이태수  (그림) |",20,"[('윤구병 ', '지은이'), (', 이태수  ', '그림')]",[]
2003,4,내가 아빠를 얼마나 사랑하는지 아세요?,"샘 맥브래트니 (지은이), 아니타 제람 (그림), 김서정  (옮긴이) |",21,"[('샘 맥브래트니 ', '지은이'), (', 아니타 제람 ', '그림'), (', 김서정  ', '옮긴이')]","['아빠', '사랑']"
2003,4,나쁜 어린이표,"황선미 (글), 권사우  (그림) |",22,"[('황선미 ', '글'), (', 권사우  ', '그림')]","['어린이', '표']"
